iter	Passed	Remaining
0	111	43631
1	211	41077
2	318	41186
3	440	42601
4	567	43795
5	711	45665
6	834	45768
7	941	45090
8	1062	45099
9	1199	45699
10	1316	45473
11	1419	44828
12	1553	45164
13	1634	44023
14	1752	43918
15	1868	43798
16	2009	44204
17	2128	44114
18	2243	43917
19	2378	44112
20	2499	44036
21	2609	43760
22	2722	43566
23	2820	43136
24	2919	42747
25	3049	42812
26	3171	42756
27	3285	42599
28	3393	42357
29	3509	42233
30	3619	42034
31	3757	42159
32	3906	42376
33	4028	42296
34	4162	42335
35	4280	42209
36	4402	42118
37	4528	42064
38	4672	42168
39	4774	41897
40	4873	41602
41	4968	41286
42	5068	41016
43	5224	41203
44	5329	40976
45	5456	40922
46	5576	40812
47	5735	40983
48	5856	40876
49	5963	40668
50	6080	40535
51	6228	40605
52	6354	40525
53	6454	40279
54	6593	40277
55	6710	40145
56	6824	39987
57	6959	39958
58	7075	39814
59	7201	39730
60	7339	39704
61	7451	39541
62	7574	39435
63	7684	39261
64	7812	39185
65	7939	39093
66	8035	38858
67	8159	38759
68	8297	38722
69	8397	38508
70	8557	38567
71	8680	38459
72	8820	38423
73	8925	38236
74	9027	38034
75	9151	37931
76	9247	37712
77	9378	37635
78	9487	37470
79	9610	37360
80	9738	37269
81	9854	37133
82	9946	36910
83	10057	36757
84	10199	36718
85	10311	36569
86	10405	36358
87	10508	36181
88	10633	36082
89	10742	35929
90	10859	35800
91	10983	35697
92	11112	35608
93	11238	35509
94	11367	35418
95	11483	35286
96	11593	35140
97	11709	35007
98	11837	34913
99	11939	34744
100	12054	34613
	11874	33643
102	11982	33504
103	12126	33463
570	25733
106	9648	25609
107	9719	25468
108	9801	25357
109	9916	25332
110	9994	25211
111	10104	25171
112	10200	25094
113	10274	24964
114	10356	24856
115	10447	24768
116	10532	24666
117	10633	24600
118	10730	24526
119	10805	24402
120	10896	24314
121	10971	24191
122	11066	24112
123	11146	24001
124	11219	23874
125	11295	23756
126	11390	23677
127	11472	23572
128	11573	23506
129	11665	23420
130	11745	23312
131	11832	23217
