iter	Passed	Remaining
0	14	4236
1	26	3996
2	40	3967
3	52	3890
4	63	3740
5	73	3577
6	81	3390
7	86	3169
8	92	2984
9	97	2817
10	101	2679
11	107	2579
12	112	2477
13	116	2389
14	122	2324
15	127	2268
16	133	2216
17	139	2178
18	144	2138
19	150	2100
20	156	2073
21	161	2042
22	167	2013
23	173	1991
24	178	1967
25	184	1942
26	190	1927
27	196	1906
28	201	1885
29	207	1869
30	213	1849
31	218	1832
32	224	1818
33	230	1801
34	235	1786
35	241	1773
36	247	1759
37	253	1746
38	259	1734
39	264	1721
40	270	1710
41	276	1697
42	281	1684
43	287	1675
44	293	1663
45	299	1651
46	305	1642
47	310	1631
48	316	1620
49	322	1611
50	327	1600
51	333	1589
52	339	1581
53	344	1571
54	350	1561
55	356	1553
56	361	1542
57	367	1535
58	374	1528
59	379	1518
60	385	1510
61	391	1501
62	396	1493
63	403	1486
64	408	1477
65	414	1468
66	420	1462
67	426	1454
68	432	1446
69	437	1438
70	443	1429
71	448	1421
72	455	1415
73	460	1407
74	466	1399
75	472	1391
76	477	1383
77	483	1376
78	489	1369
79	495	1361
80	501	1354
81	506	1347
82	512	1338
83	518	1332
84	523	1324
85	528	1316
86	535	1309
87	540	1302
88	546	1294
89	552	1288
90	557	1280
91	563	1273
92	569	1267
93	575	1260
94	581	1253
95	586	1246
96	592	1239
97	598	1233
98	604	1226
99	609	1219
100	615	1213
101	621	1205
102	626	1198
103	632	1192
104	638	1185
105	643	1178
106	650	1172
107	655	1165
108	661	1159
109	667	1152
110	672	1145
111	678	1139
112	684	1132
113	690	1126
114	696	1120
115	702	1114
116	707	1107
117	713	1101
118	719	1094
119	725	1088
120	731	1082
121	737	1075
122	742	1068
123	748	1062
124	754	1055
125	759	1049
126	765	1043
127	771	1036
128	776	1029
129	778	1018
130	784	1011
131	789	1005
132	796	999
133	801	992
134	806	986
135	812	980
136	818	973
137	824	967
138	830	961
139	836	955
140	841	949
141	847	943
142	853	936
143	858	930
144	864	924
145	870	918
146	876	912
147	882	905
148	887	899
149	893	893
150	899	887
151	904	881
152	910	875
153	916	868
154	921	862
155	928	856
156	933	850
157	939	844
158	945	838
159	950	831
160	956	825
161	962	819
162	967	813
163	973	807
164	979	801
165	984	794
166	990	788
167	995	782
168	1001	776
169	1007	770
170	1013	764
171	1018	758
172	1024	752
173	1030	746
174	1035	739
175	1041	733
176	1046	727
177	1052	721
178	1058	715
179	1064	709
180	1069	703
181	1075	697
182	1081	691
183	1087	685
184	1093	679
185	1098	673
186	1104	667
187	1110	661
188	1116	655
189	1122	649
190	1128	643
191	1133	637
192	1139	631
193	1145	625
194	1150	619
195	1156	613
196	1162	607
197	1168	601
198	1174	595
199	1179	589
200	1184	583
201	1190	577
202	1196	571
203	1201	565
204	1207	559
205	1212	553
206	1218	547
207	1224	541
208	1229	535
209	1235	529
210	1240	523
211	1246	517
212	1252	511
213	1257	505
214	1263	499
215	1268	493
216	1274	487
217	1279	481
218	1286	475
219	1291	469
220	1297	463
221	1303	457
222	1323	456
223	1328	450
224	1334	444
225	1340	438
226	1346	432
227	1353	427
228	1359	421
229	1366	415
230	1372	410
231	1378	403
232	1383	397
233	1388	391
234	1394	385
235	1400	379
236	1406	373
237	1411	367
238	1417	361
239	1423	355
240	1429	349
241	1436	344
242	1442	338
243	1448	332
244	1454	326
245	1460	320
246	1466	314
247	1472	308
248	1477	302
249	1484	296
250	1489	290
251	1496	285
252	1502	279
253	1507	273
254	1514	267
255	1520	261
256	1526	255
257	1532	249
258	1537	243
259	1543	237
260	1549	231
261	1555	225
262	1561	219
263	1567	213
264	1573	207
265	1579	201
266	1584	195
267	1590	189
268	1596	183
269	1602	178
270	1607	172
271	1613	166
272	1619	160
273	1625	154
274	1631	148
275	1636	142
276	1642	136
277	1648	130
278	1654	124
279	1659	118
280	1665	112
281	1671	106
282	1677	100
283	1682	94
284	1688	88
285	1694	82
286	1700	77
287	1707	71
288	1712	65
289	1718	59
290	1724	53
291	1729	47
292	1735	41
293	1741	35
294	1747	29
295	1753	23
296	1759	17
297	1764	11
298	1770	5
299	1776	0
